Month,Department,Account,Budget,Actual,Variance,VariancePct
2025-01-01,Sales,Revenue,441000.0,459758.65,18758.65,0.042537
2025-01-01,Sales,COGS,185220.0,194785.62,9565.62,0.051645
2025-01-01,Sales,Payroll,52020.0,54498.29,2478.29,0.047641
2025-01-01,Sales,Software,10710.0,11113.38,403.38,0.037664
2025-01-01,Sales,Travel,5712.0,5876.07,164.07,0.028723
2025-01-01,Sales,Facilities,6460.0,6346.31,-113.69,-0.017599
2025-01-01,Sales,Other OpEx,9180.0,9053.5,-126.5,-0.01378
2025-01-01,Marketing,Revenue,156800.0,164620.34,7820.34,0.049875
2025-01-01,Marketing,COGS,65856.0,69051.4,3195.4,0.048521
2025-01-01,Marketing,Payroll,52020.0,53890.48,1870.48,0.035957
2025-01-01,Marketing,Software,10710.0,10977.7,267.7,0.024995
2025-01-01,Marketing,Travel,4760.0,4988.17,228.17,0.047934
2025-01-01,Marketing,Facilities,6460.0,6391.08,-68.92,-0.010668
2025-01-01,Marketing,Other OpEx,9180.0,9482.51,302.51,0.032954
2025-01-01,R&D,Revenue,117600.0,122122.77,4522.77,0.038459
2025-01-01,R&D,COGS,49392.0,51040.51,1648.51,0.033376
2025-01-01,R&D,Payroll,72828.0,77089.31,4261.31,0.058512
2025-01-01,R&D,Software,14994.0,15855.56,861.56,0.05746
2025-01-01,R&D,Travel,4760.0,4924.68,164.68,0.034596
2025-01-01,R&D,Facilities,6460.0,6558.77,98.77,0.015289
2025-01-01,R&D,Other OpEx,9180.0,9584.76,404.76,0.044092
2025-01-01,Operations,Revenue,98000.0,99338.54,1338.54,0.013659
2025-01-01,Operations,COGS,41160.0,40117.64,-1042.36,-0.025325
2025-01-01,Operations,Payroll,52020.0,50830.52,-1189.48,-0.022866
2025-01-01,Operations,Software,10710.0,10612.29,-97.71,-0.009123
2025-01-01,Operations,Travel,4760.0,4835.75,75.75,0.015914
2025-01-01,Operations,Facilities,6460.0,6484.62,24.62,0.003812
2025-01-01,Operations,Other OpEx,9180.0,9473.71,293.71,0.031994
2025-01-01,G&A,Revenue,68600.0,67717.64,-882.36,-0.012862
2025-01-01,G&A,COGS,28812.0,28321.5,-490.5,-0.017024
2025-01-01,G&A,Payroll,52020.0,52015.1,-4.9,-9.4e-05
2025-01-01,G&A,Software,10710.0,10970.81,260.81,0.024352
2025-01-01,G&A,Travel,4760.0,5013.09,253.09,0.05317
2025-01-01,G&A,Facilities,6460.0,6697.78,237.78,0.036808
2025-01-01,G&A,Other OpEx,9180.0,9675.25,495.25,0.053949
2025-02-01,Sales,Revenue,445410.0,466723.76,21313.76,0.047852
2025-02-01,Sales,COGS,187072.2,190384.45,3312.25,0.017706
2025-02-01,Sales,Payroll,52540.2,52826.85,286.65,0.005456
2025-02-01,Sales,Software,10817.1,10813.59,-3.51,-0.000325
2025-02-01,Sales,Travel,5769.12,5804.51,35.39,0.006135
2025-02-01,Sales,Facilities,6524.6,6406.36,-118.24,-0.018123
2025-02-01,Sales,Other OpEx,9271.8,9345.18,73.38,0.007914
2025-02-01,Marketing,Revenue,158368.0,163217.24,4849.24,0.03062
2025-02-01,Marketing,COGS,66514.56,66959.44,444.88,0.006688
2025-02-01,Marketing,Payroll,52540.2,52739.14,198.94,0.003786
2025-02-01,Marketing,Software,10817.1,10946.65,129.55,0.011976
