Month,Revenue,COGS,GrossProfit,GrossMarginPct,TotalOpEx,OperatingProfit,OperatingMarginPct
2025-01-01,913557.94,383316.67,530241.27,0.5804133999426462,1447804.56,-917563.29,-1.0043843415120446
2025-02-01,913336.4,378161.02,535175.38,0.5859564778103664,1467565.91,-932390.53,-1.0208621160834057
2025-03-01,901431.77,384988.89,516442.88,0.5729139988043688,1527892.68,-1011449.8,-1.1220480946661109
2025-04-01,895203.15,390810.81,504392.34,0.5634389691323137,1528762.41,-1024370.07,-1.1442878300863886
2025-05-01,907555.04,401437.51,506117.53,0.5576714443677158,1523076.24,-1016958.71,-1.1205476970300334
2025-06-01,935939.87,406900.7,529039.17,0.5652491008850814,1541016.45,-1011977.28,-1.081241768234534
2025-07-01,964210.23,395636.88,568573.35,0.5896777821990128,1543958.36,-975385.01,-1.0115895679721214
2025-08-01,976005.08,398686.21,577318.87,0.5915121568834456,1583591.21,-1006272.34,-1.0310113754735786
2025-09-01,968573.46,417468.09,551105.37,0.5689866517713585,1623883.28,-1072777.91,-1.1075854896953303
2025-10-01,955357.08,420861.79,534495.29,0.5594717422306641,1591735.79,-1057240.5,-1.1066443344932348
2025-11-01,954935.87,418515.87,536420.0,0.5617340565497869,1590637.09,-1054217.09,-1.1039663742026993
2025-12-01,975425.04,419450.02,555975.02,0.5699823125311607,1644669.85,-1088694.83,-1.1161235208807023
