SellerID,SellerName,SellerTier,Region,PrimaryCategory,QualityScore
1001,Seller 1001,Platinum,East,Electronics,0.976
1002,Seller 1002,Platinum,Central,Home & Kitchen,0.943
1003,Seller 1003,Platinum,East,Pet Supplies,0.976
1004,Seller 1004,Platinum,East,Sports,0.958
1005,Seller 1005,Platinum,East,Electronics,0.947
1006,Seller 1006,Platinum,East,Sports,0.946
1007,Seller 1007,Platinum,South,Home & Kitchen,0.96
1008,Seller 1008,Platinum,West,Electronics,0.977
1009,Seller 1009,Platinum,Central,Pet Supplies,0.958
1010,Seller 1010,Platinum,West,Home & Kitchen,0.947
1011,Seller 1011,Platinum,West,Electronics,0.94
1012,Seller 1012,Platinum,East,Beauty,0.982
1013,Seller 1013,Gold,West,Electronics,0.935
1014,Seller 1014,Gold,East,Apparel,0.899
1015,Seller 1015,Gold,West,Pet Supplies,0.929
1016,Seller 1016,Gold,West,Sports,0.906
1017,Seller 1017,Gold,East,Electronics,0.931
1018,Seller 1018,Gold,West,Electronics,0.942
1019,Seller 1019,Gold,East,Apparel,0.91
1020,Seller 1020,Gold,West,Home & Kitchen,0.915
1021,Seller 1021,Gold,Central,Pet Supplies,0.91
1022,Seller 1022,Gold,East,Sports,0.93
1023,Seller 1023,Gold,Central,Home & Kitchen,0.92
1024,Seller 1024,Gold,West,Pet Supplies,0.933
1025,Seller 1025,Gold,Central,Pet Supplies,0.913
1026,Seller 1026,Gold,East,Home & Kitchen,0.94
1027,Seller 1027,Gold,West,Apparel,0.91
1028,Seller 1028,Gold,Central,Sports,0.943
1029,Seller 1029,Gold,West,Home & Kitchen,0.931
1030,Seller 1030,Gold,South,Pet Supplies,0.92
1031,Seller 1031,Silver,West,Home & Kitchen,0.859
1032,Seller 1032,Silver,West,Pet Supplies,0.877
1033,Seller 1033,Silver,South,Beauty,0.857
1034,Seller 1034,Silver,Central,Sports,0.872
1035,Seller 1035,Silver,East,Electronics,0.853
1036,Seller 1036,Silver,Central,Pet Supplies,0.868
1037,Seller 1037,Silver,East,Apparel,0.866
1038,Seller 1038,Silver,South,Sports,0.859
1039,Seller 1039,Silver,East,Pet Supplies,0.885
1040,Seller 1040,Silver,West,Pet Supplies,0.864
1041,Seller 1041,Silver,West,Apparel,0.854
1042,Seller 1042,Silver,East,Pet Supplies,0.893
1043,Seller 1043,Silver,West,Sports,0.887
1044,Seller 1044,Silver,East,Pet Supplies,0.861
1045,Seller 1045,Silver,Central,Home & Kitchen,0.866
1046,Seller 1046,Silver,Central,Sports,0.897
1047,Seller 1047,Silver,East,Sports,0.863
1048,Seller 1048,Silver,East,Electronics,0.896
1049,Seller 1049,Silver,West,Home & Kitchen,0.848
1050,Seller 1050,Silver,East,Electronics,0.885
1051,Seller 1051,Silver,East,Sports,0.887
1052,Seller 1052,Silver,Central,Pet Supplies,0.871
1053,Seller 1053,Silver,Central,Beauty,0.874
1054,Seller 1054,Silver,South,Home & Kitchen,0.896
1055,Seller 1055,Bronze,Central,Pet Supplies,0.802
1056,Seller 1056,Bronze,West,Apparel,0.834
1057,Seller 1057,Bronze,South,Electronics,0.799
1058,Seller 1058,Bronze,East,Beauty,0.786
1059,Seller 1059,Bronze,Central,Sports,0.797
1060,Seller 1060,Bronze,East,Pet Supplies,0.82
1061,Seller 1061,Bronze,Central,Electronics,0.835
1062,Seller 1062,Bronze,West,Electronics,0.813
1063,Seller 1063,Bronze,West,Pet Supplies,0.812
1064,Seller 1064,Bronze,Central,Pet Supplies,0.836
1065,Seller 1065,Bronze,South,Home & Kitchen,0.828
1066,Seller 1066,Bronze,South,Home & Kitchen,0.79
1067,Seller 1067,Bronze,South,Beauty,0.808
1068,Seller 1068,Bronze,South,Pet Supplies,0.788
1069,Seller 1069,Bronze,East,Electronics,0.807
1070,Seller 1070,Bronze,West,Electronics,0.799
1071,Seller 1071,Bronze,Central,Sports,0.81
1072,Seller 1072,Bronze,South,Home & Kitchen,0.8
1073,Seller 1073,Bronze,Central,Electronics,0.809
1074,Seller 1074,Bronze,East,Electronics,0.821
1075,Seller 1075,Bronze,East,Electronics,0.836
1076,Seller 1076,Bronze,Central,Home & Kitchen,0.807
1077,Seller 1077,Bronze,South,Home & Kitchen,0.833
1078,Seller 1078,Bronze,East,Home & Kitchen,0.806
1079,Seller 1079,Bronze,South,Beauty,0.836
1080,Seller 1080,Bronze,South,Beauty,0.808
