OrderID,OrderDate,SellerID,SellerName,SellerTier,Region,Category,Units,UnitPrice,GMV,TakeRate,MarketplaceRevenue,RefundFlag,RefundAmount,PaymentFee,SupportCost,FulfillmentCost,PromoCost,ContributionMargin
500001,2025-01-02,1072,Seller 1072,Bronze,South,Home & Kitchen,2,2481.6,3253.2,0.1282,417.06,0,0.0,60.18,14.64,27.65,34.16,280.43
500002,2025-01-03,1041,Seller 1041,Silver,West,Apparel,1,3657.0,3402.6,0.1285,437.23,0,0.0,62.95,15.31,28.92,35.73,294.32
500003,2025-01-19,1024,Seller 1024,Gold,West,Pet Supplies,4,985.8,4794.0,0.1297,621.78,0,0.0,88.69,21.57,40.75,50.34,420.43
500004,2025-01-22,1077,Seller 1077,Bronze,South,Home & Kitchen,3,1923.6000000000001,3783.6,0.1366,516.84,0,0.0,70.0,17.03,32.16,39.73,357.93
500005,2025-01-03,1041,Seller 1041,Silver,West,Apparel,1,4119.0,3832.8,0.1152,441.54,0,0.0,70.91,17.25,32.58,40.24,280.56
500006,2025-01-30,1002,Seller 1002,Platinum,Central,Home & Kitchen,5,971.4000000000001,7959.6,0.1248,993.36,0,0.0,147.25,35.82,67.66,83.58,659.05
500007,2025-01-26,1045,Seller 1045,Silver,Central,Home & Kitchen,2,2628.6000000000004,4891.8,0.143,699.53,0,0.0,90.5,22.01,41.58,51.36,494.07
500008,2025-01-04,1068,Seller 1068,Bronze,South,Pet Supplies,2,1368.0,1793.4,0.1359,243.72,0,0.0,33.18,8.07,15.24,18.83,168.4
500009,2025-01-09,1014,Seller 1014,Gold,East,Home & Kitchen,2,2991.0,7274.4,0.1402,1019.87,0,0.0,134.58,32.73,61.83,76.38,714.35
500010,2025-01-01,1065,Seller 1065,Bronze,South,Home & Kitchen,4,803.4000000000001,2106.6,0.1252,263.75,0,0.0,38.97,9.48,17.91,22.12,175.27
500011,2025-01-04,1043,Seller 1043,Silver,West,Pet Supplies,3,1021.1999999999999,2850.6,0.1306,372.29,0,0.0,52.74,12.83,24.23,29.93,252.56
500012,2025-01-05,1010,Seller 1010,Platinum,West,Pet Supplies,3,862.1999999999999,4238.4,0.14,593.38,0,0.0,78.41,19.07,36.03,44.5,415.36
500013,2025-01-08,1006,Seller 1006,Platinum,East,Sports,3,1134.0,5577.0,0.1367,762.38,0,0.0,103.17,25.1,47.4,58.56,528.14
500014,2025-01-08,1014,Seller 1014,Gold,East,Apparel,1,3610.2000000000003,4389.6,0.1314,576.79,0,0.0,81.21,19.75,37.31,46.09,392.43
500015,2025-01-26,1021,Seller 1021,Gold,Central,Home & Kitchen,2,2400.0,5837.4,0.1407,821.32,0,0.0,107.99,26.27,49.62,61.29,576.15
500016,2025-01-27,1032,Seller 1032,Silver,West,Pet Supplies,2,1443.6,2686.8,0.1409,378.57,0,0.0,49.71,12.09,22.84,28.21,265.72
500017,2025-01-09,1059,Seller 1059,Bronze,Central,Sports,3,852.6,1677.0,0.1214,203.59,0,0.0,31.02,7.55,14.25,17.61,133.15
500018,2025-01-01,1009,Seller 1009,Platinum,Central,Beauty,1,2842.8,4659.0,0.1493,695.59,0,0.0,86.19,20.97,39.6,48.92,499.91
500019,2025-01-24,1015,Seller 1015,Gold,West,Beauty,3,1367.3999999999999,4989.0,0.1394,695.47,0,0.0,92.3,22.45,42.41,52.38,485.93
500020,2025-01-17,1041,Seller 1041,Silver,West,Apparel,3,1264.8,3531.0,0.1296,457.62,1,2635.2,65.32,15.89,30.01,37.08,256.61
500021,2025-01-30,1069,Seller 1069,Bronze,East,Electronics,3,2482.8,4883.4,0.1177,574.78,0,0.0,90.34,21.98,41.51,51.28,369.67
500022,2025-01-11,1043,Seller 1043,Silver,West,Sports,2,2119.2,3943.2,0.1376,542.58,0,0.0,72.95,17.74,33.52,41.4,376.97
500023,2025-01-06,1052,Seller 1052,Silver,Central,Pet Supplies,2,1505.4,2801.4,0.136,380.99,0,0.0,51.83,12.61,23.81,29.41,263.33
500024,2025-01-20,1079,Seller 1079,Bronze,South,Beauty,1,2862.6,1876.8,0.1403,263.32,0,0.0,34.72,8.45,15.95,19.71,184.49
500025,2025-01-06,1042,Seller 1042,Silver,East,Pet Supplies,2,1621.8000000000002,3017.4,0.1314,396.49,0,0.0,55.82,13.58,25.65,31.68,269.76
500026,2025-01-10,1011,Seller 1011,Platinum,West,Electronics,1,7870.8,12900.0,0.1152,1486.08,0,0.0,238.65,58.05,109.65,135.45,944.28
500027,2025-01-14,1029,Seller 1029,Gold,West,Home & Kitchen,3,1684.8,6147.0,0.1344,826.16,0,0.0,113.72,27.66,52.25,64.54,567.98
500028,2025-01-25,1074,Seller 1074,Bronze,East,Electronics,2,3582.6,4698.0,0.1189,558.59,1,4171.2,86.91,21.14,39.93,49.33,277.85
500029,2025-01-28,1014,Seller 1014,Gold,East,Home & Kitchen,3,2525.4,9213.0,0.1354,1247.44,0,0.0,170.44,41.46,78.31,96.74,860.49
500030,2025-01-29,1016,Seller 1016,Gold,West,Sports,3,1006.8000000000001,3672.0,0.1397,512.98,0,0.0,67.93,16.52,31.21,38.56,358.75
500031,2025-01-24,1057,Seller 1057,Bronze,South,Electronics,2,3540.0,4641.6,0.1329,616.87,0,0.0,85.87,20.89,39.45,48.74,421.92
500032,2025-01-08,1061,Seller 1061,Bronze,Central,Electronics,2,3018.0,3957.0,0.1197,473.65,0,0.0,73.2,17.81,33.63,41.55,307.46
500033,2025-01-05,1036,Seller 1036,Silver,Central,Pet Supplies,2,1382.3999999999999,2572.2,0.1281,329.5,0,0.0,47.59,11.57,21.86,27.01,221.47
500034,2025-01-02,1030,Seller 1030,Gold,South,Pet Supplies,2,1701.6,4138.8,0.13,538.04,0,0.0,76.57,18.62,35.18,43.46,364.21
500035,2025-01-13,1027,Seller 1027,Gold,West,Apparel,3,1051.2,3834.0,0.1247,478.1,0,0.0,70.93,17.25,32.59,40.26,317.07
500036,2025-01-24,1062,Seller 1062,Bronze,West,Electronics,1,9634.800000000001,6316.2,0.1335,843.21,0,0.0,116.85,28.42,53.69,66.32,577.93
500037,2025-01-26,1070,Seller 1070,Bronze,West,Home & Kitchen,1,4943.4,3240.6,0.1347,436.51,0,0.0,59.95,14.58,27.55,34.03,300.4
500038,2025-01-19,1052,Seller 1052,Silver,Central,Pet Supplies,3,567.6,1585.2,0.1435,227.48,0,0.0,29.33,7.13,13.47,16.64,160.9
500039,2025-01-11,1073,Seller 1073,Bronze,Central,Electronics,3,3270.6,6432.6,0.1338,860.68,0,0.0,119.0,28.95,54.68,67.54,590.51
500040,2025-01-27,1028,Seller 1028,Gold,Central,Sports,1,5200.2,6323.4,0.1227,775.88,0,0.0,116.98,28.46,53.75,66.4,510.3
500041,2025-01-21,1011,Seller 1011,Platinum,West,Electronics,2,4122.599999999999,13512.6,0.1358,1835.01,0,0.0,249.98,60.81,114.86,141.88,1267.48
500042,2025-01-19,1006,Seller 1006,Platinum,East,Home & Kitchen,2,2535.6,8312.4,0.1267,1053.18,0,0.0,153.78,37.41,70.66,87.28,704.06
500043,2025-01-25,1028,Seller 1028,Gold,Central,Sports,2,2629.7999999999997,6395.4,0.1305,834.6,0,0.0,118.31,28.78,54.36,67.15,565.99
