SellerName,SellerTier,GMV,MarketplaceRevenue,RefundRate,ContributionMargin,ContributionMarginPct
Seller 1001,Platinum,339986.4,42920.98,0.07692307692307693,28232.25,0.657772725599462
Seller 1011,Platinum,319678.2,40428.38,0.08695652173913043,26556.75,0.6568838523829054
Seller 1008,Platinum,315738.6,40589.65,0.043478260869565216,27159.92,0.6691341265568933
Seller 1005,Platinum,307908.6,37997.21,0.04,24843.37,0.653820898955476
Seller 1013,Gold,261103.8,32983.57,0.037037037037037035,21794.59,0.6607711051290082
Seller 1010,Platinum,259995.6,34993.76,0.0625,23757.15,0.6788967518780492
Seller 1002,Platinum,236626.8,32064.04,0.03333333333333333,22052.3,0.6877579993038931
Seller 1017,Gold,234046.8,29453.83,0.08333333333333333,19281.01,0.6546180921122992
Seller 1048,Silver,220105.8,27881.09,0.0,18636.66,0.6684336946654523
Seller 1006,Platinum,200620.2,26269.95,0.07692307692307693,17611.24,0.6703948808429401
Seller 1007,Platinum,189261.0,25377.81,0.08333333333333333,17069.63,0.6726202930828151
Seller 1050,Silver,187846.2,23969.38,0.041666666666666664,15989.43,0.6670773294928781
Seller 1018,Gold,185581.2,23000.95,0.1111111111111111,14969.13,0.6508048580602107
Seller 1020,Gold,180878.4,24348.0,0.0,16751.13,0.6879879250862494
Seller 1028,Gold,180224.4,23515.35,0.0625,15789.18,0.6714414201787342
Seller 1035,Silver,172650.6,22255.23,0.16666666666666666,14383.83,0.6463123499510004
Seller 1073,Bronze,169366.8,21584.14,0.06666666666666667,14273.03,0.6612739724631141
Seller 1003,Platinum,167134.8,22287.56,0.10344827586206896,14965.06,0.6714534924415235
Seller 1019,Gold,164161.2,20659.8,0.03225806451612903,13695.36,0.6628989632039031
Seller 1004,Platinum,154236.6,20271.93,0.05,13676.78,0.6746659050223633
Seller 1023,Gold,154001.4,20764.69,0.041666666666666664,14170.98,0.6824556494703268
Seller 1021,Gold,151608.0,20118.98,0.0,13751.42,0.6835048297677118
Seller 1062,Bronze,151472.4,18928.91,0.1111111111111111,12292.07,0.6493807620195774
Seller 1016,Gold,145360.8,18590.29,0.0,12485.14,0.6715946873340869
Seller 1061,Bronze,145324.2,18466.93,0.04,12241.74,0.6629006553877661
Seller 1022,Gold,144929.4,18729.18,0.0,12642.16,0.6749980511693516
Seller 1026,Gold,138220.2,18767.85,0.0,12962.63,0.690682736701327
Seller 1015,Gold,136074.6,17903.56,0.07142857142857142,12110.14,0.6764096079215531
Seller 1009,Platinum,135776.4,18545.4,0.0,12842.77,0.6925043406990413
Seller 1012,Platinum,134306.4,18881.95,0.0,13241.08,0.7012559613811074
Seller 1014,Gold,134079.0,17265.34,0.08333333333333333,11506.24,0.6664357608943701
Seller 1027,Gold,132678.6,15969.5,0.1111111111111111,10155.71,0.6359441435235919
Seller 1046,Silver,132085.8,17150.32,0.06896551724137931,11491.02,0.6700178189095014
Seller 1034,Silver,127920.0,16465.12,0.03571428571428571,11053.24,0.6713124471610289
Seller 1069,Bronze,126075.6,15938.25,0.0,10643.03,0.667766536476715
Seller 1054,Silver,125856.0,16761.86,0.11538461538461539,11264.24,0.6720161127703013
Seller 1029,Gold,124870.8,16987.47,0.047619047619047616,11624.37,0.6842908331846944
Seller 1074,Bronze,119911.8,15349.22,0.16666666666666666,9954.35,0.648524811032743
Seller 1075,Bronze,115744.2,14750.92,0.13043478260869565,9641.99,0.6536534670379882
Seller 1049,Silver,114273.0,15556.91,0.07407407407407407,10601.7,0.6814785198345943
Seller 1057,Bronze,112142.4,14194.64,0.045454545454545456,9388.55,0.6614151538890737
Seller 1038,Silver,109077.6,14443.74,0.0,9862.49,0.6828210698891006
Seller 1043,Silver,107490.6,13946.39,0.038461538461538464,9392.08,0.673441657661947
Seller 1024,Gold,107306.4,14017.77,0.0,9510.91,0.6784895172341963
Seller 1051,Silver,103935.0,13522.04,0.0,9156.8,0.6771759290757904
Seller 1031,Silver,103039.8,13970.9,0.0,9643.27,0.6902397125453622
Seller 1037,Silver,102084.0,12767.86,0.1111111111111111,8246.85,0.645906988328506
Seller 1030,Gold,101073.0,13520.96,0.0,9275.88,0.6860370861240621
Seller 1041,Silver,99380.4,12759.44,0.038461538461538464,8532.75,0.6687401641451348
Seller 1025,Gold,98157.6,13255.21,0.0,9132.56,0.6889788996175843
Seller 1044,Silver,95642.4,12162.3,0.0,8145.34,0.6697203653914146
Seller 1032,Silver,94755.6,12827.53,0.0,8847.81,0.6897516513311606
Seller 1047,Silver,91830.6,11710.55,0.05,7778.55,0.6642343869416893
Seller 1052,Silver,89145.6,11830.26,0.034482758620689655,8045.97,0.6801177657972016
Seller 1070,Bronze,83824.2,11150.89,0.06666666666666667,7512.73,0.6737336661019883
Seller 1076,Bronze,82731.0,11170.68,0.10344827586206896,7509.3,0.6722330243100687
Seller 1063,Bronze,80403.6,10797.18,0.0,7420.23,0.6872377787533411
Seller 1036,Silver,77454.6,10409.68,0.08,7034.04,0.6757210596291144
Seller 1040,Silver,76725.6,10065.4,0.04,6808.83,0.6764589584119857
Seller 1033,Silver,75648.0,10790.38,0.07407407407407407,7451.78,0.690594770527081
Seller 1056,Bronze,75000.6,9308.62,0.06896551724137931,6105.24,0.6558695058988335
Seller 1042,Silver,73891.8,9668.82,0.045454545454545456,6523.45,0.6746893623006737
Seller 1078,Bronze,73787.4,10164.68,0.0,7065.61,0.6951138648732671
Seller 1077,Bronze,73575.6,9994.16,0.09523809523809523,6766.59,0.6770543997694655
Seller 1065,Bronze,72241.2,9796.26,0.13043478260869565,6607.81,0.6745237468176631
Seller 1071,Bronze,71178.0,9135.89,0.08695652173913043,6068.0,0.664193636306917
Seller 1066,Bronze,71145.6,9496.18,0.043478260869565216,6447.65,0.6789730186243307
