TransactionID,Date,ProductLine,Channel,Region,Units,ListRevenue,DiscountPct,NetRevenue,MaterialCost,LaborCost,FreightCost,ManufacturingOverhead,COGS,GrossProfit,GrossMarginPct
100001,2025-01-06,Services,Partner,South,3,1715.54,0.0898,1561.45,244.39,69.16,39.86,21.34,374.75,1186.7,0.76
100002,2025-01-16,Software Licenses,Direct,South,5,1660.0,0.0419,1590.45,165.62,39.46,20.96,28.43,254.47,1335.98,0.84
100003,2025-01-07,Accessories,Direct,West,6,575.07,0.0656,537.34,97.44,30.47,13.12,20.17,161.2,376.14,0.7
100004,2025-01-17,Enterprise Hardware,Partner,South,11,9083.22,0.0546,8587.43,2446.82,606.89,277.52,618.98,3950.22,4637.21,0.54
100005,2025-01-03,Software Licenses,E-commerce,East,3,957.89,0.1061,856.26,89.08,23.86,14.26,9.81,137.0,719.26,0.84
100006,2025-01-22,Enterprise Hardware,Enterprise,South,6,4694.48,0.0455,4480.86,1304.32,324.45,215.77,216.65,2061.2,2419.66,0.54
100007,2025-01-13,Services,Enterprise,West,8,4687.66,0.0331,4532.39,727.59,178.73,76.57,104.9,1087.77,3444.62,0.76
100008,2025-01-11,Enterprise Hardware,E-commerce,South,11,9907.6,0.0486,9426.49,2606.85,724.63,380.47,624.23,4336.18,5090.3,0.54
100009,2025-01-17,Networking,Enterprise,West,10,6881.67,0.041,6599.78,1869.43,427.11,225.05,250.32,2771.91,3827.87,0.58
100010,2025-01-26,Software Licenses,Partner,Central,10,3329.03,0,3329.03,340.12,75.12,45.75,71.66,532.64,2796.38,0.84
100011,2025-01-12,Enterprise Hardware,Enterprise,South,3,2719.31,0.0279,2643.43,817.88,180.72,120.34,97.03,1215.98,1427.45,0.54
100012,2025-01-28,Accessories,Direct,Central,11,1106.69,0.1756,912.41,180.67,46.35,24.76,21.94,273.72,638.68,0.7
100013,2025-01-20,Software Licenses,Direct,East,2,649.46,0.0855,593.95,57.91,17.4,7.41,12.31,95.03,498.92,0.84
100014,2025-01-05,Networking,Enterprise,East,1,698.13,0.0602,656.13,187.29,47.95,19.36,20.97,275.57,380.55,0.58
100015,2025-01-11,Enterprise Hardware,Partner,East,3,2532.45,0.0864,2313.67,656.44,178.61,103.27,125.96,1064.29,1249.38,0.54
100016,2025-01-01,Networking,Direct,South,8,5844.2,0.0162,5749.79,1635.97,429.21,249.76,99.97,2414.91,3334.88,0.58
100017,2025-01-09,Accessories,E-commerce,East,10,924.0,0.0042,920.15,167.79,43.98,27.62,36.65,276.05,644.11,0.7
100018,2025-01-05,Services,Enterprise,South,4,2361.11,0.0639,2210.29,329.25,78.87,48.37,73.98,530.47,1679.82,0.76
100019,2025-01-09,Software Licenses,E-commerce,West,6,1901.42,0.0759,1757.05,170.45,44.1,23.74,42.84,281.13,1475.92,0.84
