Month,Year,Quarter,Business_Unit,Region,Actual_Revenue,Budget_Revenue,Forecast_Revenue,Actual_COGS,Budget_COGS,Forecast_COGS,Actual_Opex,Budget_Opex,Forecast_Opex,Assets,Operating_Cash_Flow,Headcount
2024-01-01,2024,Q1,Enterprise,East,1514372.13,1581587.92,1577438.33,717514.78,759162.2,760325.28,424166.75,427028.74,432218.1,3180181.47,318777.13,108
2024-01-01,2024,Q1,Enterprise,Central,1374795.28,1426589.2,1432276.27,644469.28,684762.81,690357.16,363714.66,385179.08,392443.7,2887070.09,301013.96,97
2024-01-01,2024,Q1,Enterprise,West,1455970.44,1493481.06,1514755.4,702023.05,716870.91,730112.1,385269.02,403239.89,415042.98,3057537.92,308898.32,104
2024-01-01,2024,Q1,SMB,East,877714.19,918447.45,937975.36,479365.03,495961.62,508382.64,252963.83,266349.76,275764.76,1492114.13,109198.33,77
2024-01-01,2024,Q1,SMB,Central,816475.47,825840.95,816900.04,433152.18,445954.12,442759.82,247738.93,239493.88,240168.61,1388008.29,113991.9,68
2024-01-01,2024,Q1,SMB,West,908109.99,883398.52,891464.18,502458.17,477035.2,483173.59,262767.1,256185.57,262090.47,1543786.98,118652.63,74
2024-01-01,2024,Q1,Digital,East,682888.93,671571.62,687539.45,247896.3,241765.78,248889.28,238421.9,228334.35,236513.57,956044.5,143332.47,56
2024-01-01,2024,Q1,Digital,Central,580989.88,590473.6,583736.67,205700.96,212570.49,211312.67,192325.1,200761.02,200805.41,813385.83,141905.77,50
2024-01-01,2024,Q1,Digital,West,636800.37,642270.45,643335.43,225075.3,231217.36,232887.42,213970.87,218371.95,221307.39,891520.52,179428.5,53
2024-01-01,2024,Q1,Services,East,500008.17,492176.12,488583.84,213482.14,206713.97,206182.38,151453.51,152574.6,153415.33,800013.07,107503.02,50
2024-01-01,2024,Q1,Services,Central,453565.85,445108.79,449587.81,193128.33,186945.69,189726.05,146631.29,137983.73,141170.57,725705.36,99603.22,45
2024-01-01,2024,Q1,Services,West,447965.17,467502.07,467125.91,185888.19,196350.87,197127.14,136329.01,144925.64,146677.54,716744.28,114252.33,48
2024-02-01,2024,Q1,Enterprise,East,1620978.54,1643214.87,1667032.85,775292.04,788743.14,803509.83,462686.32,443668.02,456767.0,3404054.94,310908.2,108
2024-02-01,2024,Q1,Enterprise,Central,1415008.86,1444383.65,1459205.29,671890.47,693304.15,703336.95,389888.12,389983.59,399822.25,2971518.61,317753.44,97
2024-02-01,2024,Q1,Enterprise,West,1522306.04,1558251.67,1604826.56,732606.26,747960.8,773526.4,396906.72,420727.95,439722.48,3196842.68,286512.41,104
2024-02-01,2024,Q1,SMB,East,944282.66,927818.88,946972.38,508945.84,501022.2,513259.03,264310.22,269067.48,278409.88,1605280.52,136192.56,77
2024-02-01,2024,Q1,SMB,Central,859718.39,852970.17,877449.16,473172.04,460603.89,475577.44,239297.83,247361.35,257970.05,1461521.26,127243.98,69
2024-02-01,2024,Q1,SMB,West,915868.03,907971.37,905253.94,498841.27,490304.54,490647.63,257676.32,263311.7,266144.66,1556975.65,128588.32,74
2024-02-01,2024,Q1,Digital,East,719619.71,685103.12,701828.8,255355.7,246637.12,254062.03,246842.21,232935.06,241429.11,1007467.59,164312.26,56
2024-02-01,2024,Q1,Digital,Central,647933.2,621785.95,620809.75,236244.66,223842.94,224733.13,224359.25,211407.22,213558.55,907106.48,140603.34,50
2024-02-01,2024,Q1,Digital,West,671061.95,665117.2,678444.94,242782.96,239442.19,245597.07,220119.83,226139.85,233385.06,939486.73,163369.8,54
2024-02-01,2024,Q1,Services,East,522097.28,498227.28,510455.01,224305.16,209255.46,215412.02,160401.56,154450.46,160282.87,835355.65,100512.88,50
2024-02-01,2024,Q1,Services,Central,480432.85,457688.06,452586.86,202087.23,192228.99,190991.65,144166.55,141883.3,142112.27,768692.56,117020.31,45
2024-02-01,2024,Q1,Services,West,474371.69,490134.84,493265.68,200324.74,205856.63,208158.12,145134.82,151941.8,154885.42,758994.7,115310.17,48
2024-03-01,2024,Q1,Enterprise,East,1621164.13,1660722.85,1676114.96,789471.6,797146.97,807887.41,428043.31,448395.17,459255.5,3404444.67,315792.24,109
2024-03-01,2024,Q1,Enterprise,Central,1542542.18,1512314.33,1519444.14,742667.69,725910.88,732372.08,403575.5,408324.87,416327.7,3239338.57,303144.74,97
2024-03-01,2024,Q1,Enterprise,West,1615409.49,1593371.77,1585970.82,765260.91,764818.45,764437.93,420216.14,430210.38,434556.0,3392359.93,363817.68,104
2024-03-01,2024,Q1,SMB,East,997369.42,953925.73,976518.12,528448.5,515119.9,529272.82,284390.05,276638.46,287096.33,1695528.01,157551.63,77
2024-03-01,2024,Q1,SMB,Central,826492.62,853610.83,876742.1,448659.14,460949.85,475194.22,241484.72,247547.14,257762.18,1405037.46,119567.48,69
2024-03-01,2024,Q1,SMB,West,909406.06,933642.49,923710.3,490358.41,504166.95,500650.98,264371.03,270756.32,271570.83,1545990.3,125814.72,74
