CustomerID,CustomerSegment,State,Device
C00001,Consumer,MA,Android
C00002,Consumer,NY,Desktop
C00003,Small Business,NC,Android
C00004,Small Business,NC,Android
C00005,Consumer,VA,Desktop
C00006,Consumer,CA,Desktop
C00007,Consumer,MI,Desktop
C00008,Consumer,GA,Android
C00009,Small Business,GA,Desktop
C00010,Consumer,CA,Android
C00011,Consumer,GA,Android
C00012,Consumer,OH,iOS
C00013,Small Business,PA,Android
C00014,Small Business,VA,Android
C00015,Small Business,MI,Desktop
C00016,Consumer,NY,iOS
C00017,Enterprise,CA,Desktop
C00018,Enterprise,MI,iOS
C00019,Consumer,VA,iOS
C00020,Consumer,PA,Android
C00021,Consumer,MA,iOS
C00022,Consumer,WA,Android
C00023,Small Business,AZ,Desktop
C00024,Consumer,GA,Android
C00025,Consumer,PA,iOS
C00026,Consumer,IL,Desktop
C00027,Small Business,AZ,iOS
C00028,Consumer,PA,iOS
C00029,Consumer,FL,iOS
C00030,Consumer,AZ,Android
C00031,Small Business,OH,iOS
C00032,Consumer,VA,Desktop
C00033,Consumer,MI,iOS
C00034,Small Business,VA,Desktop
C00035,Consumer,OH,Android
C00036,Consumer,TX,iOS
C00037,Consumer,WA,iOS
C00038,Consumer,MA,Desktop
C00039,Consumer,GA,Android
C00040,Consumer,NC,Android
C00041,Consumer,TX,Android
C00042,Consumer,FL,iOS
C00043,Consumer,GA,iOS
C00044,Small Business,VA,Desktop
C00045,Consumer,NC,Android
C00046,Consumer,NY,iOS
C00047,Small Business,NC,Android
C00048,Consumer,IL,Desktop
C00049,Consumer,GA,Android
C00050,Small Business,MI,iOS
C00051,Consumer,NY,Desktop
C00052,Small Business,MA,iOS
C00053,Consumer,GA,iOS
C00054,Consumer,GA,Android
C00055,Consumer,MA,Android
C00056,Enterprise,TX,iOS
C00057,Small Business,AZ,Desktop
C00058,Consumer,NC,iOS
C00059,Small Business,MA,Android
C00060,Small Business,IL,iOS
C00061,Consumer,VA,Android
C00062,Small Business,TX,Android
C00063,Consumer,VA,Desktop
C00064,Enterprise,GA,iOS
C00065,Consumer,IL,Desktop
C00066,Small Business,NC,iOS
C00067,Consumer,NY,iOS
C00068,Consumer,GA,iOS
C00069,Small Business,NC,Android
C00070,Consumer,VA,Desktop
C00071,Small Business,TX,Desktop
C00072,Consumer,IL,Android
C00073,Consumer,FL,Android
C00074,Small Business,IL,Desktop
C00075,Consumer,MA,iOS
C00076,Enterprise,IL,Desktop
C00077,Small Business,TX,iOS
C00078,Consumer,CA,iOS
C00079,Small Business,IL,Android
C00080,Consumer,CA,Android
C00081,Small Business,WA,Desktop
C00082,Consumer,IL,Desktop
C00083,Consumer,IL,iOS
C00084,Consumer,NY,iOS
C00085,Consumer,MI,iOS
C00086,Small Business,IL,Desktop
C00087,Consumer,FL,Desktop
C00088,Small Business,IL,Android
C00089,Consumer,MA,Android
C00090,Consumer,VA,Android
C00091,Small Business,AZ,Android
C00092,Consumer,AZ,Desktop
C00093,Consumer,VA,Android
C00094,Consumer,MI,Desktop
C00095,Consumer,GA,iOS
C00096,Consumer,AZ,Android
C00097,Consumer,FL,Android
C00098,Consumer,VA,Desktop
C00099,Consumer,MI,Android
C00100,Consumer,NC,iOS
C00101,Consumer,MA,Android
C00102,Consumer,IL,iOS
C00103,Consumer,NC,Android
C00104,Consumer,TX,iOS
C00105,Small Business,CA,Desktop
C00106,Small Business,IL,Android
C00107,Consumer,NC,Android
C00108,Consumer,GA,Desktop
C00109,Consumer,NC,Android
C00110,Small Business,WA,Android
C00111,Consumer,CA,Android
C00112,Consumer,PA,iOS
C00113,Consumer,MA,iOS
C00114,Consumer,AZ,Desktop
C00115,Consumer,FL,Desktop
C00116,Consumer,IL,iOS
C00117,Consumer,CA,Android
C00118,Consumer,OH,iOS
C00119,Small Business,NC,iOS
C00120,Consumer,AZ,iOS
C00121,Consumer,VA,iOS
C00122,Consumer,WA,iOS
C00123,Small Business,MA,Android
C00124,Consumer,AZ,Desktop
C00125,Consumer,FL,iOS
C00126,Consumer,IL,Android
C00127,Consumer,WA,Android
C00128,Consumer,CA,Desktop
C00129,Small Business,MI,Android
C00130,Small Business,MI,Desktop
C00131,Consumer,NC,Android
C00132,Consumer,GA,iOS
C00133,Consumer,MI,Desktop
C00134,Consumer,OH,Android
C00135,Consumer,MA,Android
C00136,Consumer,GA,Android
C00137,Consumer,WA,Android
C00138,Consumer,CA,iOS
C00139,Consumer,NC,Desktop
C00140,Consumer,MI,Android
C00141,Consumer,MI,Desktop
C00142,Consumer,NY,Desktop
C00143,Consumer,IL,Android
C00144,Consumer,FL,Android
C00145,Enterprise,NC,Desktop
C00146,Small Business,NY,Desktop
C00147,Consumer,CA,iOS
C00148,Consumer,VA,iOS
C00149,Consumer,NY,Desktop
C00150,Small Business,FL,iOS
C00151,Consumer,OH,Desktop
C00152,Consumer,OH,Desktop
C00153,Small Business,VA,Android
C00154,Consumer,TX,Desktop
C00155,Consumer,OH,Android
C00156,Consumer,PA,Android
C00157,Consumer,NY,iOS
C00158,Consumer,FL,Android
C00159,Consumer,MI,Android
C00160,Small Business,PA,iOS
C00161,Enterprise,AZ,Android
C00162,Consumer,WA,Android
C00163,Consumer,MI,Desktop
C00164,Consumer,VA,Android
C00165,Small Business,TX,Desktop
C00166,Consumer,AZ,Android
C00167,Small Business,TX,Android
C00168,Consumer,GA,iOS
C00169,Enterprise,NY,iOS
C00170,Small Business,FL,Android
C00171,Consumer,MA,Desktop
C00172,Consumer,GA,Android
C00173,Consumer,AZ,Desktop
C00174,Consumer,OH,Desktop
C00175,Consumer,PA,Desktop
C00176,Consumer,NY,iOS
C00177,Consumer,TX,Android
C00178,Small Business,MA,iOS
C00179,Consumer,FL,Android
C00180,Small Business,IL,Android
C00181,Small Business,NC,Android
C00182,Consumer,GA,Android
C00183,Consumer,WA,iOS
C00184,Consumer,GA,Android
C00185,Consumer,NY,Desktop
C00186,Small Business,PA,iOS
C00187,Consumer,GA,Android
C00188,Small Business,MI,Desktop
C00189,Consumer,MA,Android
C00190,Consumer,AZ,Desktop
C00191,Small Business,NY,Desktop
C00192,Consumer,VA,iOS
C00193,Consumer,AZ,Desktop
C00194,Consumer,MI,Android
C00195,Small Business,NY,Desktop
C00196,Consumer,NC,iOS
C00197,Consumer,PA,iOS
C00198,Consumer,TX,Android
C00199,Small Business,FL,Desktop
C00200,Consumer,MI,Desktop
C00201,Consumer,GA,Android
C00202,Small Business,PA,Android
C00203,Consumer,MI,iOS
C00204,Consumer,NY,Desktop
C00205,Consumer,PA,Android
C00206,Consumer,TX,Desktop
C00207,Consumer,TX,Desktop
C00208,Consumer,OH,iOS
C00209,Consumer,MI,Android
C00210,Consumer,MA,Desktop
C00211,Consumer,NY,Android
C00212,Small Business,MA,Android
C00213,Consumer,VA,iOS
C00214,Consumer,TX,iOS
C00215,Small Business,IL,Android
C00216,Consumer,NC,Android
C00217,Consumer,IL,iOS
C00218,Consumer,AZ,Android
C00219,Consumer,FL,iOS
C00220,Consumer,FL,Android
C00221,Enterprise,GA,Android
C00222,Small Business,MA,Desktop
C00223,Consumer,NC,Desktop
C00224,Small Business,IL,iOS
C00225,Consumer,FL,Android
C00226,Small Business,FL,Android
C00227,Small Business,AZ,Desktop
C00228,Consumer,NC,Android
C00229,Consumer,CA,Android
C00230,Consumer,OH,iOS
C00231,Small Business,GA,Android
C00232,Small Business,AZ,iOS
C00233,Consumer,VA,Android
C00234,Consumer,VA,Android
C00235,Small Business,CA,Android
C00236,Small Business,WA,Desktop
C00237,Consumer,GA,iOS
C00238,Consumer,MI,Android
C00239,Consumer,VA,Android
C00240,Consumer,VA,iOS
C00241,Consumer,IL,iOS
C00242,Consumer,GA,iOS
C00243,Consumer,FL,Android
C00244,Small Business,AZ,Android
C00245,Consumer,IL,Desktop
C00246,Small Business,IL,Desktop
C00247,Consumer,CA,Desktop
C00248,Consumer,MI,iOS
C00249,Consumer,NY,iOS
C00250,Consumer,PA,iOS
C00251,Consumer,WA,iOS
C00252,Consumer,OH,Android
C00253,Small Business,VA,iOS
C00254,Consumer,TX,Desktop
C00255,Consumer,VA,iOS
C00256,Small Business,FL,iOS
C00257,Consumer,NY,iOS
C00258,Consumer,GA,Desktop
C00259,Small Business,GA,Desktop
C00260,Enterprise,PA,iOS
C00261,Consumer,PA,iOS
C00262,Small Business,IL,Android
C00263,Small Business,CA,Desktop
C00264,Consumer,MI,Android
C00265,Consumer,OH,Android
C00266,Consumer,PA,iOS
C00267,Consumer,PA,Android
C00268,Consumer,AZ,Android
C00269,Consumer,MI,iOS
C00270,Enterprise,NY,Android
C00271,Consumer,NY,Android
C00272,Consumer,FL,Desktop
C00273,Consumer,AZ,Android
C00274,Consumer,PA,Desktop
C00275,Small Business,MA,Desktop
C00276,Consumer,OH,Desktop
C00277,Small Business,FL,iOS
C00278,Consumer,AZ,Desktop
C00279,Consumer,VA,iOS
C00280,Consumer,NC,Android
C00281,Consumer,MA,Android
C00282,Small Business,MA,Android
C00283,Consumer,PA,Android
C00284,Consumer,IL,Android
C00285,Consumer,GA,iOS
C00286,Small Business,AZ,iOS
C00287,Consumer,OH,Android
C00288,Consumer,VA,Desktop
C00289,Consumer,NY,iOS
C00290,Consumer,MI,Desktop
C00291,Small Business,MI,Android
C00292,Small Business,CA,Android
C00293,Consumer,VA,Android
C00294,Consumer,FL,Android
C00295,Consumer,NC,Android
C00296,Consumer,FL,iOS
C00297,Consumer,AZ,Android
C00298,Consumer,NY,iOS
C00299,Consumer,AZ,Android
C00300,Small Business,MA,iOS
C00301,Consumer,WA,Android
C00302,Consumer,PA,Desktop
C00303,Consumer,MA,Android
C00304,Enterprise,AZ,Android
C00305,Consumer,VA,Android
C00306,Consumer,IL,iOS
C00307,Consumer,NY,iOS
C00308,Consumer,WA,iOS
C00309,Consumer,NY,Desktop
C00310,Consumer,AZ,Android
C00311,Consumer,OH,iOS
C00312,Small Business,MI,iOS
C00313,Consumer,CA,iOS
C00314,Small Business,TX,Android
C00315,Consumer,FL,Android
C00316,Consumer,FL,Desktop
C00317,Consumer,AZ,Android
C00318,Small Business,FL,iOS
C00319,Small Business,IL,Android
C00320,Consumer,CA,Desktop
C00321,Consumer,NC,Desktop
C00322,Consumer,CA,iOS
C00323,Consumer,GA,Android
C00324,Small Business,NY,iOS
C00325,Small Business,MA,Android
C00326,Consumer,WA,iOS
C00327,Enterprise,OH,Android
C00328,Consumer,TX,iOS
C00329,Consumer,NC,iOS
C00330,Consumer,IL,iOS
C00331,Consumer,TX,Android
C00332,Consumer,GA,Desktop
C00333,Consumer,VA,Android
C00334,Consumer,OH,Desktop
C00335,Consumer,VA,Android
C00336,Enterprise,VA,Desktop
C00337,Consumer,GA,iOS
C00338,Consumer,FL,Desktop
C00339,Small Business,NC,Desktop
C00340,Consumer,CA,iOS
C00341,Consumer,MI,Android
C00342,Consumer,OH,Desktop
C00343,Consumer,NC,Android
C00344,Consumer,MI,Desktop
C00345,Consumer,FL,Desktop
C00346,Consumer,OH,Android
C00347,Small Business,NY,iOS
C00348,Small Business,CA,iOS
C00349,Consumer,OH,Android
C00350,Small Business,FL,iOS
C00351,Consumer,VA,Android
C00352,Consumer,IL,Android
C00353,Consumer,PA,iOS
C00354,Consumer,VA,Android
C00355,Consumer,GA,iOS
C00356,Consumer,GA,Desktop
C00357,Consumer,NY,Desktop
C00358,Small Business,OH,Desktop
C00359,Consumer,PA,Desktop
C00360,Consumer,NY,Desktop
C00361,Consumer,WA,Desktop
C00362,Consumer,PA,Android
C00363,Consumer,TX,Android
C00364,Consumer,MA,Android
C00365,Consumer,NY,Android
C00366,Consumer,AZ,Android
C00367,Small Business,NC,Desktop
C00368,Small Business,MA,Desktop
C00369,Small Business,MA,Desktop
C00370,Small Business,PA,iOS
C00371,Small Business,VA,iOS
C00372,Small Business,MA,Android
C00373,Consumer,IL,Android
C00374,Consumer,IL,iOS
C00375,Enterprise,CA,iOS
C00376,Consumer,FL,Android
C00377,Enterprise,MA,Android
C00378,Consumer,PA,iOS
C00379,Consumer,OH,iOS
C00380,Consumer,NY,Android
C00381,Consumer,PA,Desktop
C00382,Consumer,TX,iOS
C00383,Consumer,TX,Desktop
C00384,Consumer,TX,iOS
C00385,Small Business,WA,Android
C00386,Enterprise,AZ,Android
C00387,Small Business,VA,iOS
C00388,Small Business,CA,iOS
C00389,Enterprise,TX,Android
C00390,Consumer,NY,Desktop
C00391,Small Business,PA,iOS
C00392,Consumer,CA,Desktop
C00393,Consumer,AZ,iOS
C00394,Consumer,OH,Android
C00395,Consumer,OH,iOS
C00396,Small Business,FL,Android
C00397,Small Business,NC,Android
C00398,Small Business,NC,Desktop
C00399,Consumer,NY,iOS
C00400,Consumer,PA,Android
C00401,Small Business,FL,Android
C00402,Consumer,CA,Desktop
C00403,Consumer,PA,iOS
C00404,Consumer,MA,Android
C00405,Consumer,FL,Android
C00406,Consumer,TX,iOS
C00407,Consumer,CA,iOS
C00408,Consumer,MI,Desktop
C00409,Enterprise,MA,Android
C00410,Consumer,CA,iOS
C00411,Consumer,FL,Android
C00412,Consumer,OH,Android
C00413,Small Business,CA,Desktop
C00414,Consumer,GA,Desktop
C00415,Consumer,MA,iOS
C00416,Enterprise,GA,iOS
C00417,Consumer,AZ,Desktop
C00418,Small Business,MI,iOS
C00419,Consumer,CA,Android
C00420,Consumer,FL,iOS
C00421,Small Business,FL,Android
C00422,Small Business,VA,iOS
C00423,Small Business,VA,Android
C00424,Small Business,VA,Android
C00425,Consumer,GA,Desktop
C00426,Consumer,GA,iOS
C00427,Consumer,AZ,iOS
C00428,Consumer,GA,Android
C00429,Consumer,MA,iOS
C00430,Small Business,NY,Android
C00431,Enterprise,IL,iOS
C00432,Consumer,PA,iOS
C00433,Consumer,PA,Desktop
C00434,Consumer,MA,Desktop
C00435,Enterprise,FL,Android
C00436,Small Business,IL,Desktop
C00437,Consumer,TX,Android
C00438,Small Business,MA,Android
C00439,Consumer,AZ,Desktop
C00440,Consumer,GA,Android
C00441,Consumer,PA,iOS
C00442,Consumer,NY,Desktop
C00443,Small Business,PA,Android
C00444,Consumer,FL,Desktop
C00445,Consumer,OH,Android
C00446,Consumer,IL,iOS
C00447,Small Business,WA,Desktop
C00448,Consumer,PA,Android
C00449,Small Business,IL,Android
C00450,Consumer,IL,Android
C00451,Small Business,CA,iOS
C00452,Consumer,MI,Android
C00453,Consumer,AZ,Desktop
C00454,Consumer,IL,Android
C00455,Small Business,GA,Android
C00456,Small Business,CA,Desktop
C00457,Consumer,NY,Android
C00458,Consumer,NY,Desktop
C00459,Consumer,MA,iOS
C00460,Consumer,TX,iOS
C00461,Consumer,MA,Desktop
C00462,Consumer,IL,Desktop
C00463,Consumer,VA,iOS
C00464,Consumer,PA,Android
C00465,Consumer,MI,Desktop
C00466,Consumer,IL,Desktop
C00467,Consumer,PA,Android
C00468,Small Business,OH,Android
C00469,Small Business,GA,Desktop
C00470,Consumer,AZ,iOS
C00471,Consumer,NY,iOS
C00472,Consumer,WA,Desktop
C00473,Consumer,NC,iOS
