OrderID,OrderDate,CustomerID,SellerID,ProductID,UnitsSold,UnitSalePrice,GMV,MarketplaceRevenue,OrderStatus
O0000001,2024-01-09,C00598,S0036,P00254,1,47.37,47.37,3.79,Completed
O0000002,2023-12-05,C00646,S0076,P00013,1,61.36,61.36,4.6,Completed
O0000003,2024-04-09,C00750,S0069,P00314,1,27.5,27.5,2.2,Completed
O0000004,2025-07-07,C00867,S0085,P00306,1,15.17,15.17,1.21,Completed
O0000005,2025-10-05,C00177,S0027,P00065,3,53.47,160.41,12.83,Completed
O0000006,2025-05-23,C00296,S0137,P00311,3,20.73,62.19,4.98,Completed
O0000007,2023-01-16,C00112,S0116,P00020,2,28.6,57.2,4.58,Completed
O0000008,2025-11-27,C00583,S0102,P00210,2,19.07,38.14,3.05,Completed
O0000009,2025-01-04,C00713,S0025,P00184,2,36.85,73.7,5.9,Completed
O0000010,2024-04-02,C00016,S0113,P00215,3,32.67,98.01,7.84,Completed
O0000011,2025-11-21,C00734,S0108,P00202,2,39.46,78.92,5.92,Completed
O0000012,2025-09-13,C00339,S0072,P00129,3,44.04,132.12,10.57,Completed
O0000013,2025-11-01,C00619,S0160,P00209,5,59.5,297.5,23.8,Completed
O0000014,2023-03-14,C00235,S0150,P00223,3,32.01,96.03,6.72,Completed
O0000015,2025-07-31,C00134,S0100,P00278,1,47.46,47.46,3.8,Completed
O0000016,2024-09-23,C00873,S0071,P00016,2,28.44,56.88,4.55,Completed
O0000017,2025-05-06,C00471,S0099,P00068,3,31.61,94.83,7.59,Completed
O0000018,2025-08-20,C00085,S0144,P00310,3,13.87,41.61,3.33,Completed
O0000019,2025-11-05,C00418,S0071,P00295,1,59.09,59.09,4.73,Completed
O0000020,2024-10-02,C00586,S0159,P00272,3,24.96,74.88,5.99,Completed
O0000021,2024-04-14,C00052,S0116,P00134,1,11.5,11.5,0.92,Completed
O0000022,2025-09-04,C00688,S0003,P00093,6,38.63,231.78,18.54,Completed
O0000023,2024-09-21,C00529,S0020,P00047,1,19.1,19.1,1.43,Completed
O0000024,2024-08-25,C00628,S0001,P00115,2,21.58,43.16,3.24,Completed
O0000025,2023-08-29,C00012,S0087,P00224,2,40.62,81.24,6.09,Completed
