Date,Year,Month Number,Month Name,Product,Segment,Country,Units Sold,Sale Price,Manufacturing Price,Gross Sales,Discounts,Sales,COGS,Profit,Profit Margin,Total Expenses,Actual Expenses,Net Income,Inventory,Total assets,Liabilities,Equity,Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Return on Assets,Discount Band,COGS ,Gross Sales ,Sales ,Profit ,Units Sold ,Sale Price ,Manufacturing Price ,Discount Band ,Discounts ,Month Name ,Product 
2023-04-26,2023,4,Apr,Flux,Consumer,Germany,9,204.3,108.47,1838.74,55.16,1783.58,976.21,807.37,0.4527,484.55,471.46,335.9,151.99,5000.0,2541.3,2458.7,1.4,1.18,1.03,0.0672,0-5%,976.21,1838.74,1783.58,807.37,9,204.3,108.47,0-5%,55.16,Apr,Flux
2023-09-16,2023,9,Sep,Echo,Consumer,USA,6,186.89,68.34,1121.35,33.64,1087.71,410.01,677.7,0.6231,266.89,287.55,390.15,75.63,5000.0,2787.41,2212.59,1.65,1.26,1.26,0.078,0-5%,410.01,1121.35,1087.71,677.7,6,186.89,68.34,0-5%,33.64,Sep,Echo
2025-04-06,2025,4,Apr,Alpha,Consumer,USA,12,179.64,73.04,2155.72,64.67,2091.05,876.46,1214.59,0.5809,454.37,464.58,750.02,128.65,5000.0,3038.69,1961.31,2.12,1.81,1.55,0.15,0-5%,876.46,2155.72,2091.05,1214.59,12,179.64,73.04,0-5%,64.67,Apr,Alpha
2024-04-15,2024,4,Apr,Delta,Consumer,USA,17,176.44,75.63,2999.5,359.94,2639.56,1285.78,1353.78,0.5129,329.3,323.52,1030.26,268.42,5000.0,2857.98,2142.02,1.79,1.41,1.33,0.2061,10-20%,1285.78,2999.5,2639.56,1353.78,17,176.44,75.63,10-20%,359.94,Apr,Delta
2024-03-14,2024,3,Mar,Alpha,Enterprise,USA,10,185.6,95.66,1856.0,222.72,1633.28,956.56,676.73,0.4143,356.84,343.49,333.24,165.83,5000.0,2835.64,2164.36,1.66,1.07,1.31,0.0666,10-20%,956.56,1856.0,1633.28,676.73,10,185.6,95.66,10-20%,222.72,Mar,Alpha
2023-04-12,2023,4,Apr,Alpha,Consumer,USA,8,215.52,106.56,1724.12,0.0,1724.12,852.5,871.63,0.5055,254.36,244.81,626.82,99.1,5000.0,2753.58,2246.42,1.11,0.55,1.23,0.1254,0-5%,852.5,1724.12,1724.12,871.63,8,215.52,106.56,0-5%,0.0,Apr,Alpha
2024-12-02,2024,12,Dec,Delta,Consumer,USA,8,227.05,109.44,1816.4,0.0,1816.4,875.48,940.92,0.518,494.51,494.61,446.31,139.9,5000.0,2093.07,2906.93,1.89,1.44,0.72,0.0893,0-5%,875.48,1816.4,1816.4,940.92,8,227.05,109.44,0-5%,0.0,Dec,Delta
2024-10-11,2024,10,Oct,Alpha,Consumer,USA,10,299.87,142.05,2998.67,0.0,2998.67,1420.49,1578.18,0.5263,383.47,353.51,1224.67,161.62,5407.26,1942.56,3464.69,1.68,1.34,0.56,0.2265,0-5%,1420.49,2998.67,2998.67,1578.18,10,299.87,142.05,0-5%,0.0,Oct,Alpha
2023-09-23,2023,9,Sep,Bravo,Consumer,USA,9,200.47,82.53,1804.2,0.0,1804.2,742.81,1061.39,0.5883,420.86,417.55,643.83,99.17,5000.0,3203.72,1796.28,1.95,1.7,1.78,0.1288,0-5%,742.81,1804.2,1804.2,1061.39,9,200.47,82.53,0-5%,0.0,Sep,Bravo
2025-05-07,2025,5,May,Cobalt,Consumer,USA,10,168.17,69.16,1681.69,0.0,1681.69,691.65,990.04,0.5887,281.71,268.4,721.64,130.96,5000.0,1822.37,3177.63,2.09,1.55,0.57,0.1443,0-5%,691.65,1681.69,1681.69,990.04,10,168.17,69.16,0-5%,0.0,May,Cobalt
