Date,MonthYear,FiscalYear,Month
2023-01-01,2023-01,2023,1
2023-02-01,2023-02,2023,2
2023-03-01,2023-03,2023,3
2023-04-01,2023-04,2023,4
2023-05-01,2023-05,2023,5
2023-06-01,2023-06,2023,6
2023-07-01,2023-07,2023,7
2023-08-01,2023-08,2023,8
2023-09-01,2023-09,2023,9
2023-10-01,2023-10,2023,10
2023-11-01,2023-11,2023,11
2023-12-01,2023-12,2023,12
2024-01-01,2024-01,2024,1
2024-02-01,2024-02,2024,2
2024-03-01,2024-03,2024,3
2024-04-01,2024-04,2024,4
2024-05-01,2024-05,2024,5
2024-06-01,2024-06,2024,6
2024-07-01,2024-07,2024,7
2024-08-01,2024-08,2024,8
2024-09-01,2024-09,2024,9
2024-10-01,2024-10,2024,10
2024-11-01,2024-11,2024,11
2024-12-01,2024-12,2024,12
2025-01-01,2025-01,2025,1
2025-02-01,2025-02,2025,2
2025-03-01,2025-03,2025,3
2025-04-01,2025-04,2025,4
2025-05-01,2025-05,2025,5
2025-06-01,2025-06,2025,6
2025-07-01,2025-07,2025,7
2025-08-01,2025-08,2025,8
2025-09-01,2025-09,2025,9
2025-10-01,2025-10,2025,10
2025-11-01,2025-11,2025,11
2025-12-01,2025-12,2025,12
