Sr No,Dt Transaction,Dt Product Launch,Retailer,Retailer Id,Country,State,City,Brand,Category,Product,Product Item Id,Sales Channel,Channel Type,Packaging Type,Packaging Category,Packaging Qty N Ml,Packaging Qty Ml,Order Qty,Mrp Unit Price,Cost Per Unit,Discount,Sales,COGS,Profit,Margin Percentage,Discount Impact on Profit,brand,category,product,product_item_id,retailer,retailer_id,country,state,city,dt_transaction,dt_product_launch,sales_channel,channel_type,packaging_type,packaging_category,packaging_qty_n_ml,packaging_qty_ml,order_qty,mrp_unit_price,cost_per_unit,margin_percentage,sales,profit,Year,annual revenue growth
1,2024-09-06,2024-01-17,CityLiquor,R9948,USA,TN,Nashville,HopHouse,Lager,HopHouse Lager 24oz,P23161,On-Premise,Direct,Can,24-Pack,24,8520,3,4.39,2.35,0.1,11.85,7.05,4.8,40.51,1.32,HopHouse,Lager,HopHouse Lager 24oz,P23161,CityLiquor,R9948,USA,TN,Nashville,2024-09-06,2024-01-17,On-Premise,Direct,Can,24-Pack,24,8520,3,4.39,2.35,40.51,11.85,4.8,2024,-4.17
2,2025-03-10,2023-02-21,CampusStore,R3314,USA,SC,Charleston,RiverMalt,Sour,RiverMalt Sour 16oz,P39129,Off-Premise,Direct,Bottle,12-Pack,12,5676,3,7.24,4.31,0.15,18.45,12.93,5.52,29.92,3.27,RiverMalt,Sour,RiverMalt Sour 16oz,P39129,CampusStore,R3314,USA,SC,Charleston,2025-03-10,2023-02-21,Off-Premise,Direct,Bottle,12-Pack,12,5676,3,7.24,4.31,29.92,18.45,5.52,2025,0.21
3,2023-01-24,2023-02-27,BottleKing,R9159,USA,TN,Nashville,StonePeak,IPA,StonePeak IPA 16oz,P12193,Off-Premise,Distributor,Can,6-Pack,6,2838,11,3.65,2.29,0.15,34.1,25.19,8.91,26.13,6.05,StonePeak,IPA,StonePeak IPA 16oz,P12193,BottleKing,R9159,USA,TN,Nashville,2023-01-24,2023-02-27,Off-Premise,Distributor,Can,6-Pack,6,2838,11,3.65,2.29,26.13,34.1,8.91,2023,
4,2025-01-29,2023-08-03,QuickStop,R5978,USA,SC,Charleston,BrewCo,IPA,BrewCo IPA 24oz,P27213,Off-Premise,Direct,Can,12-Pack,12,4260,4,5.63,2.79,0.0,22.52,11.16,11.36,50.44,0.0,BrewCo,IPA,BrewCo IPA 24oz,P27213,QuickStop,R5978,USA,SC,Charleston,2025-01-29,2023-08-03,Off-Premise,Direct,Can,12-Pack,12,4260,4,5.63,2.79,50.44,22.52,11.36,2025,0.21
5,2024-04-24,2024-02-02,MegaMart,R8736,USA,VA,Norfolk,BrewCo,Pilsner,BrewCo Pilsner 24oz,P86347,On-Premise,Direct,Bottle,12-Pack,12,8520,3,4.16,2.24,0.0,12.48,6.72,5.76,46.15,0.0,BrewCo,Pilsner,BrewCo Pilsner 24oz,P86347,MegaMart,R8736,USA,VA,Norfolk,2024-04-24,2024-02-02,On-Premise,Direct,Bottle,12-Pack,12,8520,3,4.16,2.24,46.15,12.48,5.76,2024,-4.17
6,2025-10-28,2024-02-01,MegaMart,R6307,USA,SC,Charleston,HopHouse,IPA,HopHouse IPA 12oz,P79768,Off-Premise,Distributor,Can,Single,1,355,16,5.99,3.84,0.1,86.24,61.44,24.8,28.76,9.6,HopHouse,IPA,HopHouse IPA 12oz,P79768,MegaMart,R6307,USA,SC,Charleston,2025-10-28,2024-02-01,Off-Premise,Distributor,Can,Single,1,355,16,5.99,3.84,28.76,86.24,24.8,2025,0.21
7,2023-02-04,2023-12-09,QuickStop,R2834,USA,NC,Raleigh,HopHouse,IPA,HopHouse IPA 16oz,P10756,On-Premise,Direct,Can,6-Pack,6,4260,12,6.04,3.44,0.0,72.48,41.28,31.2,43.05,0.0,HopHouse,IPA,HopHouse IPA 16oz,P10756,QuickStop,R2834,USA,NC,Raleigh,2023-02-04,2023-12-09,On-Premise,Direct,Can,6-Pack,6,4260,12,6.04,3.44,43.05,72.48,31.2,2023,
8,2023-03-07,2024-01-10,CityLiquor,R9570,USA,GA,Atlanta,NorthStar,IPA,NorthStar IPA 16oz,P39352,On-Premise,Direct,Can,12-Pack,12,4260,12,4.93,2.3,0.2,47.28,27.6,19.68,41.62,11.88,NorthStar,IPA,NorthStar IPA 16oz,P39352,CityLiquor,R9570,USA,GA,Atlanta,2023-03-07,2024-01-10,On-Premise,Direct,Can,12-Pack,12,4260,12,4.93,2.3,41.62,47.28,19.68,2023,
9,2024-05-28,2024-03-04,MegaMart,R4513,USA,TN,Knoxville,StonePeak,Stout,StonePeak Stout 16oz,P84055,On-Premise,Distributor,Can,Single,1,355,1,5.28,2.49,0.05,5.02,2.49,2.53,50.4,0.26,StonePeak,Stout,StonePeak Stout 16oz,P84055,MegaMart,R4513,USA,TN,Knoxville,2024-05-28,2024-03-04,On-Premise,Distributor,Can,Single,1,355,1,5.28,2.49,50.4,5.02,2.53,2024,-4.17
10,2025-01-26,2023-11-15,CampusStore,R6497,Canada,TN,Knoxville,HopHouse,Lager,HopHouse Lager 16oz,P86347,On-Premise,Direct,Bottle,6-Pack,6,2838,17,5.92,3.51,0.05,95.54,59.67,35.87,37.54,5.1,HopHouse,Lager,HopHouse Lager 16oz,P86347,CampusStore,R6497,Canada,TN,Knoxville,2025-01-26,2023-11-15,On-Premise,Direct,Bottle,6-Pack,6,2838,17,5.92,3.51,37.54,95.54,35.87,2025,0.21
